road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
0000029-KAMILAROI HIGHWAY,3,2,20220115,State,218,17556.14033
0000560-BEACH RD,1,3,20211203,Regional,219,2995.988558
"0000054-TRUNKEY RD,SOFALA RD,JUNCTION POINT RD",2,1,20151130,State,220,11505.02829
"0002040-KING ST,MILTON ST,JEFFREY ST",1,3,20211008,Regional,221,2800.923417
"0000152-LAWRENCE RD,YAMBA RD",1,4,20220701,Regional,222,2307.357736
"0007190-JUNCTION RD,BROUGHTON ST,ROSE PAYTEN DR",1,3,20210922,Regional,223,363.2165859
"0000190-SILVERWATER RD,ALFORDS POINT RD,NEW ILLAWARRA RD",4,3,20161108,State,224,2659.639452
0007225-BARTLEY ST,1,3,20210927,Regional,225,762.1809251
0000468-BARKERS LODGE RD,1,2,20211209,Regional,226,3633.993492
0000001-PRINCES HIGHWAY,2,2,20211210,Regional,227,485.1295427
"0000200-KING GEORGES RD,CENTENARY DR,HOMEBUSH BAY DR",3,3,20160219,State,228,3870.072643
0000011-OXLEY HIGHWAY,1,1,20201209,State,229,6994.811545
0002052-PITTWATER RD,1,3,20211005,Regional,230,1206.914433
0000013-CUMBERLAND HIGHWAY,1,3,20161118,State,231,240.8965858
"0000092-NERRIGA RD,BRAIDWOOD RD",1,2,20211202,Regional,232,22005.92567
"0000630-LONDONDERRY RD,CASTLEREAGH RD,CRANEBROOK RD",2,4,20161102,State,233,723.5656176
0000160-OLD NORTHERN RD,1,2,20160114,State,234,12759.60721
0000131-FEDERATION WAY,1,2,20211111,Regional,235,3709.053439
0000056-LACHLAN VALLEY WAY,1,3,20150218,State,236,724.508378
"0000570-HAWKESBURY RD,SPRINGWOOD RD,CASTLEREAGH RD",1,2,20161102,State,237,3011.815671
"0000190-SILVERWATER RD,ALFORDS POINT RD,NEW ILLAWARRA RD",1,4,20161109,State,238,2178.996339
0000084-BURLEY GRIFFIN WAY,2,2,20140923,State,239,19668.15469
"0000370-ALBURY RD,KYWONG HOWLONG RD,LOCKHART RD",2,2,20211110,Regional,240,3693.901569
0000005-GREAT WESTERN HIGHWAY,7,2,20130921,State,241,482.4261043
"0000125-URANA RD,MAHONGA RD",1,3,20211110,Regional,242,4333.804627
0000648-COWPASTURE RD,2,3,20160202,State,243,8160.254106
"0000321-KIDMAN WAY,RANKINS SPRINGS RD",2,3,20160120,State,244,20677.74411
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",2,4,20220401,Regional,245,89405.2512
0000185-LAWRENCE HARGRAVE DRIVE,1,2,20150210,State,246,4611.114302
0000013-CUMBERLAND HIGHWAY,1,2,20161118,State,247,1205.506362
"0007125-BEACONSFIELD ST,ASHFORD AV,BULLECOURT AV",1,4,20210924,Regional,248,3618.176238
0006003-M1 PACIFIC MOTORWAY,2,3,20160309,State,249,31343.61027
0000021-COBB HIGHWAY,1,1,20140915,State,250,10541.68829
0000398-MARY GILMORE WAY,3,2,20211023,Regional,251,16940.33742
"0000195-LEGGETTS DR,CESSNOCK RD,MAIN RD",1,4,20150113,State,252,956.3921522
0007123-RICKARD RD,1,3,20210210,Regional,253,599.795973
0000011-OXLEY HIGHWAY,3,2,20210212,State,254,7056.169139
0000001-PRINCES HIGHWAY,2,3,20211210,Regional,255,243.3650643
0000090-THE BUCKETTS WAY,1,3,20220406,Regional,256,1187.680513
0000022-SILVER CITY HIGHWAY,1,2,20140910,State,257,5556.13012
"0000674-THE ESPLANADE,HILLSBOROUGH RD,MEDCALF ST",1,3,20150107,State,258,1669.338237
"0000023-NEWCASTLE INNER CITY BYPA, LOOKOUT RD",1,3,20150107,State,259,5265.305315
"0000349-EMPIRE BAY DR,BRISBANE WATER DR,MANNS RD",3,3,20150106,State,260,1571.138574
"0000600-OCEAN DR,HASTINGS RIVER DR",5,3,20220514,Regional,261,1868.247401
"0000321-KIDMAN WAY,RANKINS SPRINGS RD",2,2,20160120,State,262,3654.994809
"0000584-OLD COOMA RD,COOMA ST",2,3,20211119,Regional,263,1353.59523
0000005-GREAT WESTERN HIGHWAY,1,3,20151010,State,264,722.293781
"0000104-RICHARDSON RD,RAYMOND TERRACE RD",1,2,20140304,State,265,274.3995826
0000005-GREAT WESTERN HIGHWAY,2,1,20130921,State,266,120.6694846
0000154-THE NORTHERN ROAD,1,,20161102,State,267,966.725459
0000005-GREAT WESTERN HIGHWAY,3,3,20151010,State,268,4693.400168
"0000284-TUMBARUMBA RD,LITTLE BILLABONG RD",1,2,20160123,State,269,3697.128642
"0000522-SHELLHARBOUR RD,WINDANG RD,KING ST",1,4,20160303,State,270,974.5437868
"0000057-GOLDFIELDS WAY, THE GIPPS WAY, FIFIELD RD, THE BOGAN WAY",3,3,20220207,Regional,271,88682.71674
0000138-TEXAS RD,1,2,20220524,Regional,272,4000.960752
0007205-BOUNDARY RD,1,4,20211016,Regional,273,1259.951655
0006003-M1 PACIFIC MOTORWAY,1,4,20160309,State,274,361.4754129
0000016-BRUXNER HIGHWAY,2,1,20140218,State,275,4110.581283
"0000052-GRABBEN GULLEN RD,GUNDAROO RD,SUTTON RD",3,1,20151202,State,276,368.4259555
