"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2021-15778-19/09/2025","MUNNO PARA WEST","CITY OF PLAYFORD.",2,5,0,0,5,2021,"April","Thursday","06:08 pm",60,"Sealed","Dry","Not Raining","Night","Right Angle",1,,,1335849.85,1700711.46
"2021-15779-19/09/2025","SECOND VALLEY","DC YANKALILLA.",1,1,0,0,1,2021,"April","Thursday","02:40 pm",100,"Sealed","Dry","Not Raining","Daylight","Roll Over",1,,,1292958.28,1605216.38
"2021-15782-19/09/2025","COWANDILLA","CITY OF WEST TORRENS",2,1,0,0,1,2021,"April","Thursday","06:19 pm",60,"Sealed","Dry","Not Raining","Night","Right Angle",1,,,1324136.61,1670365.05
"2021-15785-19/09/2025","NORMANVILLE","DC YANKALILLA.",2,1,0,0,1,2021,"April","Thursday","06:45 pm",80,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,,,1301216.21,1612329.6
"2021-15787-19/09/2025","DARLINGTON","CITY OF ONKAPARINGA",5,2,0,0,2,2021,"April","Thursday","09:14 pm",60,"Sealed","Dry","Not Raining","Night","Head On",1,"Y",,1324445.3,1659359.47
"2021-15788-19/09/2025","NORTH ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2021,"April","Thursday","05:25 pm",50,"Sealed","Dry","Not Raining","Daylight","Side Swipe",2,,,1329085.6,1672671.99
"2021-15791-19/09/2025","STIRLING","THE ADELAIDE HILLS COUNCIL",5,2,1,0,1,2021,"April","Thursday","05:01 pm",110,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1339967.9,1662297.22
"2021-15795-19/09/2025","KILBURN","CITY OF PORT ADELAIDE ENFIELD",2,1,0,0,1,2021,"April","Friday","02:44 am",60,"Sealed","Dry","Not Raining","Night","Hit Pedestrian",2,,,1327248.97,1679217.53
"2021-15796-19/09/2025","PENFIELD","CITY OF PLAYFORD.",2,1,0,0,1,2021,"April","Friday","07:16 am",110,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1331401.54,1697660.52
"2021-15801-19/09/2025","DAVOREN PARK","CITY OF PLAYFORD.",2,2,0,0,2,2021,"April","Friday","08:52 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,"Y",1335882.34,1697185.72
"2021-15805-19/09/2025","BRIGHTON","CITY OF HOLDFAST BAY",2,1,0,0,1,2021,"April","Friday","10:35 am",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",1,"Y",,1320672.27,1660581.9
